ct,organ_i,organ_j,omega,js_raw,spearman,cosine,marker_jaccard
hepatocyte,Liver,Heart,8.570095581882018,0.013455758049680433,0.25810365519987655,0.4213842749595642,0.9821882951653944
macrophage,Liver,Kidney,20.675855269498747,0.0021482998447863357,0.2004438227618257,0.07505548000335693,0.48484848484848486
macrophage,Liver,Heart,5.701663900706124,0.003895783788921267,0.3063887927860779,0.14206188917160034,0.5714285714285714
macrophage,Liver,Bone_Marrow,15.933329927666799,0.004660449701250392,0.23238744699497194,0.16082251071929932,0.5815602836879432
macrophage,Liver,Spleen,24.57840539204589,0.003014628400507392,0.16282372525626732,0.09438472986221313,0.6111111111111112
macrophage,Liver,Lung,21.34076535852823,0.005219211226688518,0.1762458288521902,0.14811664819717407,0.6754966887417219
monocyte,Liver,Bone_Marrow,15.192958511934895,0.0025944947544323067,0.19692437744754687,0.08675414323806763,0.49624060150375937
endothelial cell,Liver,Kidney,18.12239859011085,0.006816361900660986,0.2576697985898202,0.2996417284011841,0.8165680473372781
endothelial cell,Liver,Spleen,35.236304538594496,0.008517335631261062,0.2615954463478297,0.3246477246284485,0.9159891598915989
nk cell,Liver,Kidney,14.987861020469948,0.002755823248942866,0.1974544336348305,0.11519092321395874,0.5964912280701755
nk cell,Liver,Bone_Marrow,18.450345643000627,0.003322716129997384,0.22396331640298373,0.14025402069091797,0.5815602836879432
nk cell,Liver,Spleen,22.296147349753515,0.002409061648864171,0.19394068395954078,0.0946386456489563,0.5294117647058824
nk cell,Liver,Lung,19.37906332018912,0.0024590078610325296,0.21132326658965783,0.10090118646621704,0.5239852398523985
erythrocyte,Liver,Bone_Marrow,22.598243366176764,0.007963255886443484,0.35754859449496224,0.20530188083648682,0.5611510791366907
erythrocyte,Liver,Spleen,55.052804980134916,0.0053010845550573145,0.253808984827977,0.1586819291114807,0.49056603773584906
neutrophil,Liver,Bone_Marrow,6.052868684208205,0.010056432100408264,0.6109582640124622,0.31039947271347046,0.7261146496815287
neutrophil,Liver,Spleen,7.034041296562187,0.0077162214030152675,0.6263355902552015,0.24353402853012085,0.6394557823129252
neutrophil,Liver,Lung,6.837374360234429,0.006944357963618034,0.6043017711532324,0.24647074937820435,0.6206896551724138
plasma cell,Liver,Bone_Marrow,8.628766395256594,0.004375844630412808,0.3817146780277908,0.2090955376625061,0.6622073578595318
plasma cell,Liver,Spleen,10.049299439503912,0.0051522558786853585,0.3684482641270044,0.2030763030052185,0.5714285714285714
plasma cell,Liver,Lung,7.115907851116878,0.0044958960572963865,0.3061551449649318,0.18476152420043945,0.5347985347985348
b cell,Kidney,Lung,9.361019298794577,0.0016207822067844393,0.25850519217577905,0.0756605863571167,0.31932773109243695
macrophage,Kidney,Heart,10.357691699197089,0.002440606820253112,0.294367462751853,0.11035811901092529,0.4189723320158103
macrophage,Kidney,Bone_Marrow,8.392369154302303,0.0030287225435061387,0.21455837435358371,0.1094403862953186,0.4496124031007752
macrophage,Kidney,Spleen,29.126574150099835,0.0026874859678077305,0.1719179072170416,0.08735817670822144,0.5347985347985348
macrophage,Kidney,Lung,12.854577755939198,0.004843280941211081,0.19576077103990497,0.13648349046707153,0.6486486486486487
