comparison,category,omega,kn,kf,p_value,null_mean,null_std,cohens_d,n_cells_A,n_cells_B,q_value
C: hepatocyte (Liver),C_control,12.160541196524411,0.0002611905502561,0.0031762184465327,0.4155844155844156,11.985710608266931,5.749179525365755,0.0304096588889106,199,200,0.5667060212514758
C: endothelial cell (Heart),C_control,6.573117104966837,0.0003154341227646,0.0020733854278346,0.7132867132867133,7.245842887134239,1.3851174384292917,-0.4856814039755838,568,569,0.8230231307154384
C: B cell (Spleen),C_control,6.338449726974334,0.0002609343483228,0.0016539192488851,0.5104895104895105,6.280451500203371,0.9750153964249944,0.0594844214600298,619,619,0.6381118881118881
C: B cell (Marrow),C_control,5.223528987395135,0.0001668094906296,0.0008713342096765,0.9630369630369632,7.047950695908574,1.4773684717108475,-1.2349131198127512,924,924,0.993006993006993
C: fibroblast (Heart),C_control,8.147909714276535,0.0001073504533807,0.0008746818019329,0.3106893106893107,7.199933767645748,2.05890110692334,0.4604281106280856,1026,1026,0.4660339660339661
C: neutrophil (Marrow),C_control,1.5938021561002569,0.0002256342460239,0.0003596163478029,0.993006993006993,6.019338721360311,2.493326983283268,-1.7749523407605412,299,300,0.993006993006993
S: B cell (Marrow vs Spleen),S_same_ct,42.77281069131156,0.0040382470639239,0.1727271771899653,0.0009990009990009,7.269397159647568,1.7073250045730648,20.79475989431901,433,245,0.00249750249750225
S: B cell (Spleen vs Lung),S_same_ct,8.801141886364023,0.0086795423620269,0.0763898838369064,0.0089910089910089,6.190561054378246,1.0344117900379353,2.523734606592254,245,27,0.019266447837876212
S: endothelial cell (Heart vs Lung),S_same_ct,19.18092438031197,0.0157521155370983,0.3021401369470212,0.0009990009990009,7.25927478294005,1.5130312663153782,7.87931476551983,286,248,0.00249750249750225
S: natural killer cell (Marrow vs Liver),S_same_ct,14.468215669078914,0.00605628330419,0.0876236129980638,0.0009990009990009,6.746113464153544,0.9065950247389676,8.51769753220162,48,28,0.00249750249750225
D: hepatocyte vs endothelial cell of hepatic sinusoid (Liver),D_diff_ct,30.09066880471253,0.0206901551537,0.6225806062481051,0.0149850149850149,11.6950588882111,5.718868324819489,3.2166521192078807,157,162,0.028096903096902937
D: B cell vs neutrophil (Marrow),D_diff_ct,37.77019606899375,0.0172905042285126,0.6530657348426896,0.0009990009990009,8.08433383527351,2.188124627971498,13.566805955308189,433,161,0.00249750249750225
D: endothelial cell vs fibroblast (Heart),D_diff_ct,61.715322165279055,0.0100185972250948,0.6183009553909,0.0009990009990009,10.126512488545448,5.222601146709195,9.87799148882739,286,590,0.00249750249750225
X: hepatocyte(Liver) vs B cell(Marrow),X_cross,31.64671105425795,0.0184624874573998,0.5842770059071944,0.0009990009990009,8.314766545294209,3.0425505148324947,7.668547948578024,157,433,0.00249750249750225
X: cardiac muscle cell(Heart) vs neutrophil(Marrow),X_cross,22.96491256365046,0.0340462118186226,0.7818682775381918,0.0319680319680319,9.401410097583408,4.879182144882813,2.779872130884103,36,161,0.05328005328005317
